artifact	source_branch	source_path	final_path	exists	used
benders_300s_campaign.csv	exp/requirements-and-300s-benchmark	results/benders_300s_campaign.csv	report/evidence/csv/benders_300s_campaign.csv	True	yes
monolithic_f1_300s.csv	exp/monolithic-baselines	results/monolithic_f1_300s.csv	report/evidence/csv/monolithic_f1_300s.csv	True	yes
benders_real_instances_300s.csv	exp/large-instance-campaign	results/benders_real_instances_300s.csv	report/evidence/csv/benders_real_instances_300s.csv	True	yes
synthetic_stress_300s.csv	exp/synthetic-stress	results/synthetic_stress_300s.csv	report/evidence/csv/synthetic_stress_300s.csv	True	yes
orlib_pmed16_smoke_300s.csv	final/report-evidence-consolidation	results/orlib_pmed16_smoke_300s.csv	report/evidence/csv/orlib_pmed16_smoke_300s.csv	True	yes
pmed1_p5_phase1.csv	exp/gap-trace-integration	results/gap_traces/pmed1_p5_phase1.csv	report/evidence/csv/gap_traces/pmed1_p5_phase1.csv	True	yes
pmed6_p5_phase1.csv	exp/gap-trace-integration	results/gap_traces/pmed6_p5_phase1.csv	report/evidence/csv/gap_traces/pmed6_p5_phase1.csv	True	yes
rl1304_p5_phase1.csv	exp/gap-trace-integration	results/gap_traces/rl1304_p5_phase1.csv	report/evidence/csv/gap_traces/rl1304_p5_phase1.csv	True	yes
toy1_p2_phase1.csv	exp/gap-trace-integration	results/gap_traces/toy1_p2_phase1.csv	report/evidence/csv/gap_traces/toy1_p2_phase1.csv	True	yes
benders_300s_runtime_by_instance.png	exp/requirements-and-300s-benchmark	results/figures/benders_300s_runtime_by_instance.png	report/figures/benders_300s_runtime_by_instance.png	True	yes
benders_300s_nodes_by_instance.png	exp/requirements-and-300s-benchmark	results/figures/benders_300s_nodes_by_instance.png	report/figures/benders_300s_nodes_by_instance.png	True	yes
benders_300s_lazy_cuts_by_instance.png	exp/requirements-and-300s-benchmark	results/figures/benders_300s_lazy_cuts_by_instance.png	report/figures/benders_300s_lazy_cuts_by_instance.png	True	yes
benders_300s_runtime_vs_N.png	exp/requirements-and-300s-benchmark	results/figures/benders_300s_runtime_vs_N.png	report/figures/benders_300s_runtime_vs_N.png	True	yes
benders_300s_status_summary.png	exp/requirements-and-300s-benchmark	results/figures/benders_300s_status_summary.png	report/figures/benders_300s_status_summary.png	True	yes
gap_vs_iteration_pmed1.png	exp/gap-trace-integration	results/figures/gap_vs_iteration_pmed1.png	report/figures/gap_vs_iteration_pmed1.png	True	yes
bounds_vs_iteration_pmed1.png	exp/gap-trace-integration	results/figures/bounds_vs_iteration_pmed1.png	report/figures/bounds_vs_iteration_pmed1.png	True	yes
benders_vs_monolithic_runtime.png	exp/monolithic-baselines	results/figures/benders_vs_monolithic_runtime.png	report/figures/benders_vs_monolithic_runtime.png	True	yes
benders_vs_monolithic_gap.png	exp/monolithic-baselines	results/figures/benders_vs_monolithic_gap.png	report/figures/benders_vs_monolithic_gap.png	True	yes
benders_vs_monolithic_nodes.png	exp/monolithic-baselines	results/figures/benders_vs_monolithic_nodes.png	report/figures/benders_vs_monolithic_nodes.png	True	yes
synthetic_runtime_vs_N.png	exp/synthetic-stress	results/figures/synthetic_runtime_vs_N.png	report/figures/synthetic_runtime_vs_N.png	True	yes
synthetic_lazy_cuts_vs_N.png	exp/synthetic-stress	results/figures/synthetic_lazy_cuts_vs_N.png	report/figures/synthetic_lazy_cuts_vs_N.png	True	yes
synthetic_nodes_vs_N.png	exp/synthetic-stress	results/figures/synthetic_nodes_vs_N.png	report/figures/synthetic_nodes_vs_N.png	True	yes
synthetic_timeout_summary.png	exp/synthetic-stress	results/figures/synthetic_timeout_summary.png	report/figures/synthetic_timeout_summary.png	True	yes
BENDERS_300S_CAMPAIGN.md	exp/requirements-and-300s-benchmark	docs/BENDERS_300S_CAMPAIGN.md	report/evidence/docs/BENDERS_300S_CAMPAIGN.md	True	yes
BENDERS_300S_VISUALIZATION_HANDOFF.md	exp/requirements-and-300s-benchmark	docs/BENDERS_300S_VISUALIZATION_HANDOFF.md	report/evidence/docs/BENDERS_300S_VISUALIZATION_HANDOFF.md	True	yes
GAP_TRACE_HANDOFF.md	exp/gap-trace-integration	docs/GAP_TRACE_HANDOFF.md	report/evidence/docs/GAP_TRACE_HANDOFF.md	True	yes
MONOLITHIC_F1_BASELINE_HANDOFF.md	exp/monolithic-baselines	docs/MONOLITHIC_F1_BASELINE_HANDOFF.md	report/evidence/docs/MONOLITHIC_F1_BASELINE_HANDOFF.md	True	yes
BENDERS_VS_MONOLITHIC_HANDOFF.md	exp/monolithic-baselines	docs/BENDERS_VS_MONOLITHIC_HANDOFF.md	report/evidence/docs/BENDERS_VS_MONOLITHIC_HANDOFF.md	True	yes
SYNTHETIC_STRESS_HANDOFF.md	exp/synthetic-stress	docs/SYNTHETIC_STRESS_HANDOFF.md	report/evidence/docs/SYNTHETIC_STRESS_HANDOFF.md	True	yes
ORLIB_PMED16_SMOKE_HANDOFF.md	final/report-evidence-consolidation	docs/ORLIB_PMED16_SMOKE_HANDOFF.md	report/evidence/docs/ORLIB_PMED16_SMOKE_HANDOFF.md	True	yes
OVERNIGHT_TIMEOUT_AUDIT.md	final/report-evidence-consolidation	docs/OVERNIGHT_TIMEOUT_AUDIT.md	report/evidence/docs/OVERNIGHT_TIMEOUT_AUDIT.md	True	yes
OVERNIGHT_TRACEABILITY_AUDIT.md	final/report-evidence-consolidation	docs/OVERNIGHT_TRACEABILITY_AUDIT.md	report/evidence/docs/OVERNIGHT_TRACEABILITY_AUDIT.md	True	yes
OVERNIGHT_LOG_AUTHENTICITY_AUDIT.md	final/report-evidence-consolidation	docs/OVERNIGHT_LOG_AUTHENTICITY_AUDIT.md	report/evidence/docs/OVERNIGHT_LOG_AUTHENTICITY_AUDIT.md	True	yes
WEB_SOURCE_AND_REPLICATION_FEASIBILITY_AUDIT.md	final/report-evidence-consolidation	docs/WEB_SOURCE_AND_REPLICATION_FEASIBILITY_AUDIT.md	report/evidence/docs/WEB_SOURCE_AND_REPLICATION_FEASIBILITY_AUDIT.md	True	yes
PAPER_REPLICATION_MATRIX.md	final/report-evidence-consolidation	docs/PAPER_REPLICATION_MATRIX.md	report/evidence/docs/PAPER_REPLICATION_MATRIX.md	True	yes
EXPERIMENTAL_HANDOFF_FOR_REPORT.md	final/report-evidence-consolidation	docs/EXPERIMENTAL_HANDOFF_FOR_REPORT.md	report/evidence/docs/EXPERIMENTAL_HANDOFF_FOR_REPORT.md	True	yes
full_20260622_033304_OR-Library_pmed10_p67.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed10_p67.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed10_p67.log	True	evidence/log
full_20260622_033304_OR-Library_pmed11_p5.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed11_p5.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed11_p5.log	True	evidence/log
full_20260622_033304_OR-Library_pmed12_p10.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed12_p10.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed12_p10.log	True	evidence/log
full_20260622_033304_OR-Library_pmed13_p30.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed13_p30.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed13_p30.log	True	evidence/log
full_20260622_033304_OR-Library_pmed14_p60.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed14_p60.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed14_p60.log	True	evidence/log
full_20260622_033304_OR-Library_pmed15_p100.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed15_p100.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed15_p100.log	True	evidence/log
full_20260622_033304_OR-Library_pmed1_p5.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed1_p5.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed1_p5.log	True	evidence/log
full_20260622_033304_OR-Library_pmed2_p10.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed2_p10.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed2_p10.log	True	evidence/log
full_20260622_033304_OR-Library_pmed3_p10.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed3_p10.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed3_p10.log	True	evidence/log
full_20260622_033304_OR-Library_pmed4_p20.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed4_p20.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed4_p20.log	True	evidence/log
full_20260622_033304_OR-Library_pmed5_p33.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed5_p33.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed5_p33.log	True	evidence/log
full_20260622_033304_OR-Library_pmed6_p5.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed6_p5.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed6_p5.log	True	evidence/log
full_20260622_033304_OR-Library_pmed7_p10.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed7_p10.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed7_p10.log	True	evidence/log
full_20260622_033304_OR-Library_pmed8_p20.log	exp/requirements-and-300s-benchmark	results/logs/benders_300s/full_20260622_033304_OR-Library_pmed8_p20.log	report/evidence/logs/benders_300s/full_20260622_033304_OR-Library_pmed8_p20.log	True	evidence/log
